stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
01118101,Conenna I,"",41.103323,16.932655,01118101,0,
01118103,Conenna III,"",41.105703,16.930975,01118103,0,
01135001,"Colombo, 298","",41.168762,16.734895,01135001,0,
01135002,Colombo-Pansini,"",41.168632,16.738885,01135002,0,
01135104,Colombo-Pansini,"",41.168672,16.738825,01135104,0,
01135105,Colombo-Harris,"",41.169132,16.734295,01135105,0,
01143001,D'Annunzio (Carcere),"",41.135792,16.778785,01143001,0,
01143106,D'Annunzio(CPT),"",41.143872,16.778595,01143106,0,
01189101,Narcisi-Caravella,"",41.160202,16.739055,01189101,0,
01233101,Europa(P. Principi),"",41.132982,16.779355,01233101,0,
01250001,Felicità (Mercato),"",41.146800,16.736400,01250001,0,
01339001,"Macchie, vigna del re","",41.148422,16.770325,"",0,
01378106,Napoli (Chiesa),"",41.162700,16.748600,"",0,
01379102,P. Harris II,"",41.167391,16.730605,01379102,0,
01384103,Nazionale (Miglia ),"",41.154772,16.770745,01384103,0,
01387003,N. Green V,"",41.154772,16.740435,01387003,0,
01452101,Rispetto (giardini),"",41.147300,16.734300,01452101,0,
01509101,Tolleranza-Lealtà,"",41.149262,16.735935,01509101,0,
01522101,Udine-lung. Colombo,"",41.166100,16.747500,01522101,0,
01562103,V.Veneto-Sabotino,"",41.156262,16.765915,01562103,0,
02002001,Accolti Gil (Eurospin),"",41.119200,16.805700,02002001,0,
02002102,Accolti Gil (Amgas),"",41.119872,16.809685,02002102,0,
02024004,Buozzi-str. Deserto,"",41.112262,16.829855,02024004,0,
02037002,Bonomo-Costantino,"",41.131962,16.803085,02037002,0,
02037102,Bonomo-De Benedictis,"",41.130702,16.798705,02037102,0,
02048001,Massa(case Breda),"",41.127002,16.785245,02048001,0,
02112001,Columbo (RFI),"",41.120822,16.822015,02112001,0,
02123003,Corigliano-Columbo,"",41.123082,16.821035,02123003,0,
02141001,D'Alesio I,"",41.127402,16.786635,02141001,0,
02147C00,De Blasi (S. Paolo),"",41.130602,16.797475,02147C00,0,
02150003,De Blasio (C&Carry),"",41.113462,16.799715,02150003,0,
02150006,De Blasio (Lobuono),"",41.116200,16.812600,02150006,0,
02150107,Isotta Fraschini,"",41.111442,16.792295,02150107,0,
