Comune;Alessandra Todde;Paolo Truzzu;Renato Soru;Lucia Chessa;Total;PRO_COM;pop
ARMUNGIA;49;41.7;9.3;0;100;111002;424
ASSEMINI;51.3;38.1;9.3;1.3;100;92003;25944
BALLAO;34.3;42.4;23;0.3;99.99999999999999;111003;731
BARRALI;24;73.4;2.6;0;100;111004;1094
BURCEI;11.8;84.7;2.6;0.9;100;111007;2646
CAGLIARI;53;34.6;10.8;1.6;99.99999999999999;92009;148881
CAPOTERRA;53.4;39;6.7;0.9;100.00000000000001;92011;23172
CASTIADAS;34.4;61.8;2.8;1;99.99999999999999;111011;1651
DECIMOMANNU;49.5;36.9;12.7;0.9;100.00000000000001;92015;8293
DECIMOPUTZU;32.4;62.8;4.2;0.6;99.99999999999999;111013;4164
DOLIANOVA;30.7;63.7;4.8;0.8;100;111014;9411
DOMUS DE MARIA;28.7;68.4;2.8;0.1;100;111015;1621
DONORI;43.1;53.1;3.3;0.5;100;111017;1964
ELMAS;59.9;30.8;8.3;1;100;92108;9358
ESCALAPLANO;40.1;35.9;23.3;0.7;100;111018;2079
ESCOLCA;76;19.9;3.5;0.6;100;111019;542
ESTERZILI;29.4;56.1;13.9;0.6;100;111020;565
GERGEI;52.1;37;10.6;0.3;99.99999999999999;111025;1129
GESICO;44.6;51.4;3.7;0.3;100;111026;781
GONI;19.8;75.4;4.4;0.4;100.00000000000001;111029;455
GUAMAGGIORE;29.8;66.4;3.2;0.6;100;111032;917
GUASILA;49.6;41.1;8.7;0.6;100;111033;2482
ISILI;54.5;34.1;6.2;5.2;100;111036;2516
MANDAS;45.1;47.4;6.8;0.7;100;111039;2009
MARACALAGONIS;30.4;62.9;5.3;1.4;100;92037;7873
MONASTIR;47.7;43.2;8.4;0.7;100.00000000000001;111041;4432
MONSERRATO;52.6;38.8;7.3;1.3;100;92109;19037
MURAVERA;43.9;52.4;3.1;0.6;99.99999999999999;111042;5131
NURAGUS;75.9;16.6;6;1.5;100;111045;841
NURALLAO;44.1;44.6;11.1;0.2;100;111046;1167
NURAMINIS;52.9;35.2;10.6;1.3;99.99999999999999;111047;2317
