Comune;Alessandra Todde;Paolo Truzzu;Renato Soru;Lucia Chessa;Total;PRO_COM;pop
ARMUNGIA;100;85;19;0;204;111002;424
ASSEMINI;5396;4004;979;137;10516;92003;25944
BALLAO;106;131;71;1;309;111003;731
BARRALI;145;443;16;0;604;111004;1094
BURCEI;153;1097;34;12;1296;111007;2646
CAGLIARI;37992;24792;7722;1112;71618;92009;148881
CAPOTERRA;5421;3951;677;90;10139;92011;23172
CASTIADAS;288;517;23;8;836;111011;1651
DECIMOMANNU;1858;1381;476;32;3747;92015;8293
DECIMOPUTZU;646;1254;83;11;1994;111013;4164
DOLIANOVA;1521;3159;237;38;4955;111014;9411
DOMUS DE MARIA;247;588;24;1;860;111015;1621
DONORI;394;486;30;5;915;111017;1964
ELMAS;2814;1447;390;47;4698;92108;9358
ESCALAPLANO;473;424;275;8;1180;111018;2079
ESCOLCA;263;69;12;2;346;111019;542
ESTERZILI;91;174;43;2;310;111020;565
GERGEI;308;219;63;2;592;111025;1129
GESICO;168;194;14;1;377;111026;781
GONI;45;171;10;1;227;111029;455
GUAMAGGIORE;150;335;16;3;504;111032;917
GUASILA;677;561;118;8;1364;111033;2482
ISILI;829;520;95;80;1524;111036;2516
MANDAS;481;506;73;7;1067;111039;2009
MARACALAGONIS;1078;2227;187;49;3541;92037;7873
MONASTIR;891;806;157;13;1867;111041;4432
MONSERRATO;4649;3437;650;119;8855;92109;19037
MURAVERA;1047;1250;73;14;2384;111042;5131
NURAGUS;344;75;27;7;453;111045;841
NURALLAO;273;276;69;1;619;111046;1167
NURAMINIS;567;377;114;14;1072;111047;2317
NURRI;519;262;63;10;854;111048;2025
ORROLI;417;508;134;6;1065;111050;2012
ORTACESUS;285;167;11;1;464;111051;881
PIMENTEL;171;343;22;8;544;111055;1126
PULA;1436;1678;123;23;3260;92050;7054
QUARTU SANT'ELENA;14714;12297;2084;323;29418;92051;68430
QUARTUCCIU;2856;2268;475;78;5677;92105;12756
SADALI;107;124;199;0;430;111058;867
SAMATZAI;386;287;43;4;720;111060;1555
SAN BASILIO;184;292;25;0;501;111061;1132
SAN NICOLO' GERREI;125;151;36;1;313;111064;717
SAN SPERATE;1955;1267;377;43;3642;111065;8352
SAN VITO;609;981;78;16;1684;111066;3436
SANT'ANDREA FRIUS;336;392;34;10;772;111069;1709
SARROCH;1240;856;97;17;2210;92066;5033
SELARGIUS;6470;6289;1071;107;13937;92068;28501
SELEGAS;618;166;17;1;802;111074;1292
SENORBI';1011;1147;113;22;2293;111075;4729
SERDIANA;0;0;0;0;0;111076;2647
SERRI;102;151;22;3;278;111079;630
SESTU;3420;3405;520;80;7425;92074;20676
SETTIMO SAN PIETRO;2014;950;191;21;3176;92075;6839
SEULO;278;147;14;3;442;111082;795
SILIQUA;704;697;129;15;1545;111084;3586
SILIUS;0;0;0;0;0;111085;1060
SINNAI;3844;2813;716;62;7435;92080;17172
SIURGUS DONIGALA;302;502;61;5;870;111086;1831
SOLEMINIS;343;455;79;26;903;111087;1840
SUELLI;257;293;13;0;563;111088;1071
TEULADA;675;762;119;10;1566;111089;3293
USSANA;1045;729;132;20;1926;111093;4001
UTA;2129;1439;183;27;3778;92090;8596
VALLERMOSA;307;608;54;12;981;111095;1799
