Comune;MoVimento 5 STELLE;DEMOS DEMOCRAZIA SOLIDALE;PROGRESSISTA;PARTITO SOCIALISTA ITALIANO - SARDI IN EUROPA;SINISTRA FUTURA;FORTZA PARIS;PARTITO DEMOCRATICO della SARDEGNA;ORIZZONTE COMUNE;UNITI PER ALESSANDRA TODDE;ALLEANZA VERDI E SINISTRA;RIFORMATORI SARDI;UDC SARDEGNA;LEGA SALVINI SARDEGNA;PARTITO SARDO D'AZIONE;FORZA ITALIA BERLUSCONI - PPE;SARDEGNA AL CENTRO 20VENTI;ALLEANZA SARDEGNA - PARTITO LIBERALE ITALIANO;FRATELLI D'ITALIA CON GIORGIA MELONI;DEMOCRAZIA CRISTIANA con Rotondi;LIBERU;MOVIMENTO PROGETTO SARDEGNA;+EUROPA -AZIONE con Soru;VOTA SARDIGNA;PARTITO DELLA RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA;SARDIGNA R-esiste;Total;PRO_COM;pop
ARMUNGIA;1;0;0;0;2;1;13.8;18.9;2.6;6.1;2;2;3.1;1;4.1;0;3.6;28.6;0;0;0.5;7.7;1.5;0.5;0;100.00000000000001;111002;424
ASSEMINI;15.5;0.9;2.3;2.3;3;1;13;2.1;3.9;5;4.9;2.8;3.6;4;7.2;4;2.1;12.7;0.5;1.1;3.9;1.6;0.9;0.7;1;100;92003;25944
BALLAO;1.3;0;0.3;5.7;2.3;0.7;6.7;5.7;2.7;3;0.3;1.7;0.7;7.4;9.4;0.7;1;21;0.3;0;2;26.1;0.7;0;0.3;100;111003;731
BARRALI;5.8;0;0.2;1;2.9;0.3;3.5;1.2;1.7;1.2;1.4;2.6;2.8;9.3;1.6;1.7;0.3;59.6;0.7;0.5;0.8;0.2;0.2;0.5;0;100.00000000000001;111004;1094
BURCEI;2;0.1;1.1;0.8;0.3;0.6;1.7;0.9;2.3;0.9;2.5;29.900000000000002;2.2;16.7;2.4;10;2.7;19.2;0.5;0.5;0.6;0.4;0.4;0.6;0.7;100.00000000000001;111007;2646
CAGLIARI;7.1;1.3;5.9;2.1;4.5;1.2;14.7;3.4;5.6;5.1;5.3;1.9;3.9;5.2;5.7;1.7;3.4;11.4;0.5;0.6;3.9;2.2;2;0.4;1;100.00000000000001;92009;148881
CAPOTERRA;6.3;1.2;13.7;1.4;2.8;4.8;9.3;6.2;3.7;3;8.4;1.3;3.1;7.7;5.4;5.4;1.4;9;0.3;0.2;2.8;1.2;0.6;0.3;0.5;100.00000000000001;92011;23172
CASTIADAS;4.1;0.6;2.6;0.4;1.6;1.5;4.1;14.4;1.2;2;2.7;0.7;2.8;21;2.1;1.4;4;29.3;0.4;0.1;0.9;0.9;0.6;0.1;0.5;100;111011;1651
DECIMOMANNU;9;0.7;7.8;2.4;2.1;1.9;13.1;1.8;3.1;6.6;2.7;2;3.7;3.1;4.7;3;9.5;9.6;0.5;0.6;8.4;1.4;0.5;1.4;0.4;100.00000000000001;92015;8293
DECIMOPUTZU;4;0.2;8.2;2.5;2;0.4;8.8;1;1.6;1.5;2.1;1.8;2;4.1;5.7;17.1;19.9;12.9;0.2;0.3;1.4000000000000001;0.4;0.8;0.7;0.4;100.00000000000003;111013;4164
DOLIANOVA;3.9;0.5;1.4;0.9;3.1;0.7;5.3;1.5;4;4;1.6;0.5;2;2.1;54.3;1.6;1.2;7.3;0.2;0.5;1.1;0.7;0.9;0.3;0.4;100;111014;9411
DOMUS DE MARIA;6.4;0.6;1;2.2;2.7;0.8;5;2.3;2.3;1.3;41;0.8;1.3;2.1;14.4;3.5;1.9;8;0.2;0;1;0.4;0.2;0.5;0.1;100;111015;1621
DONORI;7.6;0.3;2.1;2.6;5.6;1.3;11.9;0.9;3.6;3.6;4.3;0.7;3.9;6.1;13.1;1.1;1.6;25.700000000000003;0.3;0;1.4;1.1;0.1;0.5;0.6;99.99999999999997;111017;1964
ELMAS;6.5;1.2;2.1;1.2;2.1;1.4;23.1;1.5;3.3;18.2;7.3;1.1;2;2.8;3.3;1.2;1.6;13.1;0.1;0.5;1.9;1.3;0.5;2.4;0.3;99.99999999999997;92108;9358
ESCALAPLANO;2.3;0.2;0.3;0.7;1.5;0.4;3.8;28.9;0.7;0.6;2;2.8;1.4;16.900000000000002;2.7;0;1.2;9;0;0;1.4;22.9;0.1;0.1;0.1;100;111018;2079
ESCOLCA;3;0;0;0;0.3;0;2.1;7.8;0.9;64.30000000000001;1.2;1.2;0.3;1.2;2.4;0.3;1.2;9.9;0.3;0;1.8;0.9;0.3;0;0.6;100.00000000000001;111019;542
ESTERZILI;2;0;0;1.7;3.4;2.4;3.7;4.4;0;11;6.5;1;0;12.6;3.7;0.7;4.8;26.4;0;0.3;2.4;12.299999999999999;0;0;0.7;100.00000000000001;111020;565
GERGEI;4.8;0.3;1.2;2.8;2.4;1;3.3;4.3;1.9;31.7;1.2;1;0.3;14.4;2.1;1.2;1.6;13.1;0.3;0.2;8.3;1;0.5;0.9;0.2;100;111025;1129
GESICO;1.9;0.3;0.8;3;4.4;3.6;25.6;3.3;0;3;5.5;0.5;3;14.5;9.1;0.3;10.2;9.1;0;0;0.5;0.9;0.5;0;0;100;111026;781
GONI;1.3;0.4;0.9;0.4;0.4;0.4;9;3.5;2.7;0;5.3;3.5;4.9;37.2;7.5;0.9;11.1;5.8;0;0;2.6;0.9;0.9;0;0.4;100.00000000000001;111029;455
GUAMAGGIORE;1;0;0.6;0.6;14.6;0;5.6;2.5;1.9;1.7;23.5;0.6;11.8;14.9;2.7;0.6;3.5;11.4;0;0;1.7;0.4;0;0.4;0;100.00000000000003;111032;917
GUASILA;2.7;0;0.8;0.2;35.5;0.6;2.8;2;0.5;4.5;19;0.8;1.4;1.1;2.9;0.7;1.9;14.4;0;0.5;6.3999999999999995;0.2;0.4;0.2;0.5;100.00000000000003;111033;2482
ISILI;19.4;0.3;0.1;3.4;0.9;0.5;5.2;15.9;1.6;6.7;2.4;4.1;0.5;3.4;2.1;0.8;0.5;18.4;0;0.1;5.3;0.9;0.5;0.1;6.9;99.99999999999999;111036;2516
MANDAS;2.1;0.2;0.4;0.9;2.8;0.8;16.799999999999997;5.9;3.6;9.2;1.7;1.3;0.9;21.400000000000002;16.2;0.5;1.5;6.7;0.3;1.1;3.1999999999999997;1.1;0.7;0.4;0.3;100;111039;2009
MARACALAGONIS;7.2;0.5;1.2;0.5;1.6;2;4.4;1.6;2.9;4.5;2.5;0.7;2.7;47.4;3;1.4;1.5;8.6;0.2;0.1;1.1;2.3;0.6;0.6;0.9;99.99999999999997;92037;7873
MONASTIR;5.5;0.5;1.6;1.3;2.7;1;8.6;2.6;2.6;17.5;3.6;1.9;5.1;4.3;4.9;1.1;17.3;7.5;0.1;0.8;6.1;1.2;1.2;0.3;0.7;99.99999999999999;111041;4432
MONSERRATO;9.9;0.9;4.2;2.7;3.5;1.1;13.7;2.7;6.2;5.2;3.5;1.4;4.5;6.5;4.5;3.9;3.7;14.1;0.3;0.6;2.8;1.2;1.7;0.3;0.9;100;92109;19037
MURAVERA;3.8;1;0.9;1.4;1;0.6;4.6;27.3;1.1;1.6;7.2;2.6;1.3;6.7;3.2;0.8;3.2;28.6;0;0;0.9;1.3;0.4;0.1;0.4;100.00000000000001;111042;5131
