Comune;MoVimento 5 STELLE;DEMOS DEMOCRAZIA SOLIDALE;PROGRESSISTA;PARTITO SOCIALISTA ITALIANO - SARDI IN EUROPA;SINISTRA FUTURA;FORTZA PARIS;PARTITO DEMOCRATICO della SARDEGNA;ORIZZONTE COMUNE;UNITI PER ALESSANDRA TODDE;ALLEANZA VERDI E SINISTRA;RIFORMATORI SARDI;UDC SARDEGNA;LEGA SALVINI SARDEGNA;PARTITO SARDO D'AZIONE;FORZA ITALIA BERLUSCONI - PPE;SARDEGNA AL CENTRO 20VENTI;ALLEANZA SARDEGNA - PARTITO LIBERALE ITALIANO;FRATELLI D'ITALIA CON GIORGIA MELONI;DEMOCRAZIA CRISTIANA con Rotondi;LIBERU;MOVIMENTO PROGETTO SARDEGNA;+EUROPA -AZIONE con Soru;VOTA SARDIGNA;PARTITO DELLA RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA;SARDIGNA R-esiste;Total;PRO_COM;pop
ARMUNGIA;2;0;0;0;4;2;27;37;5;12;4;4;6;2;8;0;7;56;0;0;1;15;3;1;0;196;111002;424
ASSEMINI;1472;88;219;220;284;98;1240;200;371;480;470;267;346;382;688;384;197;1199;50;108;369;150;81;70;91;9524;92003;25944
BALLAO;4;0;1;17;7;2;20;17;8;9;1;5;2;22;28;2;3;63;1;0;6;78;2;0;1;299;111003;731
BARRALI;33;0;1;6;17;2;20;7;10;7;8;15;16;54;9;10;2;344;4;3;5;1;1;3;0;578;111004;1094
BURCEI;25;1;14;10;4;8;21;12;30;11;32;377;28;212;31;126;34;243;6;6;9;5;5;7;9;1266;111007;2646
CAGLIARI;4579;865;3812;1386;2915;801;9530;2183;3616;3283;3423;1215;2552;3351;3717;1115;2194;7420;292;374;2488;1415;1318;283;623;64750;92009;148881
CAPOTERRA;592;112;1264;133;259;453;877;586;350;285;791;120;288;724;503;510;131;853;24;20;272;109;53;29;50;9388;92011;23172
CASTIADAS;33;5;21;3;13;12;33;117;10;16;22;6;23;170;17;11;32;237;3;1;7;7;5;1;4;809;111011;1651
DECIMOMANNU;306;24;265;83;71;66;443;62;107;223;91;69;125;106;160;101;327;326;16;20;285;48;17;48;14;3403;92015;8293
DECIMOPUTZU;77;3;159;48;39;7;173;20;30;29;41;34;38;80;111;331;386;249;4;6;25;8;16;14;7;1935;111013;4164
DOLIANOVA;187;26;67;43;147;35;242;73;189;192;76;24;94;99;2587;78;56;346;9;23;52;33;44;16;17;4755;111014;9411
DOMUS DE MARIA;54;5;8;18;22;7;41;19;19;11;339;7;11;17;119;29;16;66;2;0;8;3;2;4;1;828;111015;1621
DONORI;66;3;18;23;49;11;104;8;31;31;37;6;34;53;114;10;14;223;3;0;12;10;1;4;5;870;111017;1964
ELMAS;287;53;92;52;93;61;1021;67;147;804;325;48;88;124;146;51;69;583;4;21;82;56;24;110;14;4422;92108;9358
ESCALAPLANO;27;2;3;8;17;5;44;336;8;7;23;32;16;198;31;0;14;104;0;0;16;266;1;1;1;1160;111018;2079
ESCOLCA;10;0;0;0;1;0;7;26;3;215;4;4;1;4;8;1;4;33;1;0;6;3;1;0;2;334;111019;542
ESTERZILI;6;0;0;5;10;7;11;13;0;32;19;3;0;37;11;2;14;78;0;1;7;36;0;0;2;294;111020;565
GERGEI;28;2;7;16;14;6;19;25;11;184;7;6;2;83;12;7;9;76;2;1;48;6;3;5;1;580;111025;1129
GESICO;7;1;3;11;16;13;93;12;0;11;20;2;11;53;33;1;37;33;0;0;2;3;2;0;0;364;111026;781
GONI;3;1;2;1;1;1;20;8;6;0;12;8;11;84;17;2;25;13;0;0;6;2;2;0;1;226;111029;455
GUAMAGGIORE;5;0;3;3;71;0;27;12;9;8;114;3;57;72;13;3;17;55;0;0;8;2;0;2;0;484;111032;917
GUASILA;36;0;10;3;472;8;37;26;6;59;250;11;18;15;39;9;25;191;0;6;87;2;5;2;6;1323;111033;2482
ISILI;282;5;1;50;13;7;76;231;23;98;35;59;8;49;30;12;8;267;0;1;76;13;8;2;101;1455;111036;2516
MANDAS;22;2;4;9;29;8;175;61;37;95;18;13;9;223;167;5;15;69;3;11;34;11;7;4;3;1034;111039;2009
MARACALAGONIS;248;16;40;18;53;70;151;56;99;153;85;25;92;1618;101;48;51;294;8;2;36;82;20;21;31;3418;92037;7873
MONASTIR;97;8;29;23;48;18;151;45;45;310;64;33;90;75;86;20;305;133;2;14;105;22;22;6;13;1764;111041;4432
MONSERRATO;804;72;346;220;287;92;1113;217;506;424;283;111;370;526;369;315;302;1158;21;49;225;101;136;27;72;8146;92109;19037
