procom;out;in;self;sum;inout;saldo
1001;886;491;439;1816;1377;-395
1002;1307;2205;812;4324;3512;898
1003;105;44;116;265;149;-61
1004;713;189;171;1073;902;-524
1005;301;69;24;394;370;-232
1006;2150;1494;1187;4831;3644;-656
1007;82;11;23;116;93;-71
1008;5942;2870;2603;11415;8812;-3072
1009;635;1340;419;2394;1975;705
1010;174;19;75;268;193;-155
1011;306;42;73;421;348;-264
1012;429;258;159;846;687;-171
1013;3987;4940;2476;11403;8927;953
1014;480;482;212;1174;962;2
1015;298;272;86;656;570;-26
1016;1128;458;482;2068;1586;-670
1017;193;186;44;423;379;-7
1018;1677;179;412;2268;1856;-1498
1019;19;19;25;63;38;0
1020;1166;984;423;2573;2150;-182
1021;602;130;154;886;732;-472
1022;367;430;1100;1897;797;63
1023;230;306;42;578;536;76
1024;6112;5260;3238;14610;11372;-852
1025;1132;310;561;2003;1442;-822
1026;148;49;114;311;197;-99
1027;724;587;264;1575;1311;-137
1028;5265;3808;2536;11609;9073;-1457
1029;225;48;28;301;273;-177
1030;1219;381;563;2163;1600;-838
1031;313;41;48;402;354;-272
1032;775;562;303;1640;1337;-213
1033;990;739;549;2278;1729;-251
1034;2975;1156;1607;5738;4131;-1819
1035;1523;976;769;3268;2499;-547
1036;185;22;33;240;207;-163
1037;204;64;26;294;268;-140
1038;3255;2085;1515;6855;5340;-1170
1039;543;370;225;1138;913;-173
1040;568;492;193;1253;1060;-76
1041;453;372;281;1106;825;-81
1042;398;1242;178;1818;1640;844
1043;546;1388;327;2261;1934;842
1044;1877;1227;1115;4219;3104;-650
1045;2419;1514;931;4864;3933;-905
1046;1144;557;585;2286;1701;-587
1047;1893;2442;1677;6012;4335;549
1048;2125;1896;1182;5203;4021;-229
1049;449;491;252;1192;940;42
1050;461;276;162;899;737;-185
1051;2286;1331;920;4537;3617;-955
1052;95;5;11;111;100;-90
1053;999;124;294;1417;1123;-875
1054;157;43;110;310;200;-114
1055;865;356;235;1456;1221;-509
1056;325;80;135;540;405;-245
1057;230;150;111;491;380;-80
1058;2593;2165;2056;6814;4758;-428
1059;6434;3979;8825;19238;10413;-2455
1060;612;220;328;1160;832;-392
1061;612;179;128;919;791;-433
1062;1050;1084;484;2618;2134;34
1063;6489;5511;3787;15787;12000;-978
1064;770;190;183;1143;960;-580
1065;839;140;336;1315;979;-699
1066;2760;1974;2210;6944;4734;-786
1067;161;15;28;204;176;-146
1068;2565;833;1000;4398;3398;-1732
1069;849;188;237;1274;1037;-661
1070;1537;879;1306;3722;2416;-658
1071;655;177;257;1089;832;-478
1072;261;193;171;625;454;-68
1073;28;13;47;88;41;-15
