Estrazione del 2020-02-03
idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
46351;DI BENEDETTO CARBURANTI S.R.L.;Pompe Bianche;Altro; VILLASETA;VILLASETA S.S.115 KM 186,225  ;AGRIGENTO;AG;37.29331979071349;13.569776862859726
23778;ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL;Sicilpetroli;Altro;A. Di Benedetto srl Via Imera Ag;VIA IMERA 10 92100;AGRIGENTO;AG;37.312390927445705;13.58591309570079
20438;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;AGRIGENTO EX S.S.115 KM 191+222 VIL.MOSE;EX S.S.115 KM 191+222 VIL.MOSE  92100;AGRIGENTO;AG;37.27431987367583;13.614236337434363
25614;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;AGRIGENTO VIA FOSSE ARDEATINE LOC.VILLASETA;VIA FOSSE ARDEATINE LOC.VILLASETA  92100;AGRIGENTO;AG;37.29582883251122;13.547611503041026
43380;ELETTRONIA SERVICE S.N.C. DI MIGLIORINO FRANCESCO E TUTTOLOMONDO BALDASSARE;Esso;Strada Statale;AREA BORSELLINO;Strada Statale, Km. 141+42, RAFFADALI-AGRIGENTO 92100;AGRIGENTO;AG;37.34959953305459;13.558641693865752
39653;ALBA ALESSANDRO;Agip Eni;Altro;AREA SI SERVIZIO ENI;CONTRADA SAN MICHELE SNC 92100;AGRIGENTO;AG;37.33398294716085;13.595558255910873
9254;DISTEFANO CARBURANTI DI DISTEFANO FABIO E C. S.A.S.;Q8;Strada Statale;BAR DELLA VALLE;Statale 640 di Porto Empedocle, Km. 10, dir. AG CL 92100;AGRIGENTO;AG;37.31145034380066;13.608648777008057
43389;ELLEVI S.A.S. DI MESSINA LUIGI E MESSINA VITTORIO;Q8;Altro;Ellevi sas Q8;VIALE EMPORIUM 192/BIS 92100;AGRIGENTO;AG;37.274077216030335;13.58533838039125
27962;NOBILE OIL GROUP S.P.A.;Agip Eni;Altro;Eni - Via Imera;VIA IMERA SN 92100;AGRIGENTO;AG;37.31670576105686;13.580794036388397
21524;NOBILE OIL GROUP S.P.A.;Agip Eni;Altro;ENI - Vill. Mosè;VIA LEONARDO SCIASCIA SN 92100;AGRIGENTO;AG;37.271179903909264;13.626721501350403
24949;ERRIU ENRICO;Sicilpetroli;Altro;ERRIU ENRICO;VIA FRANCESCO CRISPI 12 92100;AGRIGENTO;AG;37.308234929449384;13.586577368122903
14565;PETROLCOKE ENERGY S.R.L.;Esso;Altro;esso AGRIGENTO ;VIA GIOENI 292 92100;AGRIGENTO;AG;37.314871815789736;13.581396440028584
43134;G.CAMPIONE DI MICHELE & FRATELLI S.N.C.;Esso;Altro;G.Campione Carburanti;Via Imera 200 92100;AGRIGENTO;AG;37.315139767313354;13.583115311293
45448;ADAMO IDROCARBURI S.R.L.;Adamo Idrocarburi;Strada Statale;IDC ADAMO IDROCARBURI VILL. MOSE' SS.115 KM190+700;115 dir Sud Occidentale Sicula, Km. 190+700, sud occidentale 92100;AGRIGENTO;AG;37.27703035721762;13.610540252506723
45283;ADAMO IDROCARBURI S.R.L.;Adamo Idrocarburi;Altro;IDC FONTANELLE;VIA SICILIA C/DA FONTANELLE  92100;AGRIGENTO;AG;37.326237000123;13.591822000123
45162;ADAMO IDROCARBURI S.R.L.;Adamo Idrocarburi;Altro;IDC VIA PETRARCA;VIA PETRARCA 92 92100;AGRIGENTO;AG;37.303804000123;13.586244000123
45284;ADAMO IDROCARBURI S.R.L.;Adamo Idrocarburi;Altro;IDC VM KM 191;EX S.S. 115 KM 191+450 V.LE SCIASCIA VILL. MOSE'  92100;AGRIGENTO;AG;37.271200000123;13.620873000123
45286;ADAMO IDROCARBURI S.R.L.;Adamo Idrocarburi;Altro;IDC XXV APRILE;VIA XXV APRILE   92100;AGRIGENTO;AG;37.314930000123;13.571386000123
21198;IL MOLO S.R.L.;Pompe Bianche;Altro;il molo srl;LUNGOMARE FALCONE BORSELLINO 2, 92100;AGRIGENTO;AG;37.2631384;13.5790455
28277;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;Altro;QUADRIVIO SPINANSANTA - AGRIGENTO;QUADRIVIO SPINANSANTA  92100;AGRIGENTO;AG;37.31919829622775;13.581069525760313
47052;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;Altro;VIA PETRARCA AGRIGENTO;VIA PETRARCA  92100;AGRIGENTO;AG;37.303777234919984;13.586254217136684
20497;CIARAVELLA GIUSEPPE VALERIO;Q8;Strada Statale;Q8;Statale 118 Corleonese Agrigentina, Km. 93+63, dir. nord;ALESSANDRIA DELLA ROCCA;AG;37.56170013881221;13.451516926288605
28848;MELI ALFONSO;Q8;Altro;Q8;VIA ROMA  196 92021;ARAGONA;AG;37.40059799035912;13.61762747168541
11161;RIZZO GIOVANNI;Q8;Altro;stazione di servizio rizzo giovanni;VIA S.LA ROSA 135 92021;ARAGONA;AG;37.395494269083635;13.621182051589926
32468;CAFE' VALI' DI CARBONE R. E MANISCALCO R. E C. S.N.C.;Esso;Altro;Esso Cafe Vali;via FEDERICO II DI SVEVIA snc 92010;BIVONA;AG;37.614666580463016;13.435519561171531
16211;FALCO CARBURANTI S.A.S. DI GIUSEPPA  FALCO & C.;Agip Eni;Altro;FALCO CARBURANTI SAS;VIA TRIOCOLA 2 92010;CALTABELLOTTA;AG;37.575594747823374;13.220453972167661
30714;INCARDONA CARBURANTI DI BORDINO CROCIFISSA & C. S.A.S.;Tamoil;Strada Statale;INCARDONA CARBURANTI;Statale 410 di Naro, Km. 16+705, dir. naro 92020;CAMASTRA;AG;37.26309356572423;13.79327143637488
26491;URSO GIOVANNI BATTISTA;Q8;Altro;Q8;CORSO VITTORIO VENETO 297 92020;CAMASTRA;AG;37.25732352978499;13.791059106588364
7842;ELIOGEST DI TRAINA MARCELLO E GIAMBRONE AUSILIA & C. SOCIETA' IN IN ACCOMANDITA SEMPLICE.;Agip Eni;Strada Statale;ENI STATION CAMMARATA;Statale 189 della Valle del Platani, Km. 18+760, dir. AGRIGENTO-PALERMO 92022;CAMMARATA;AG;37.66139284028912;13.668215274810791
