Country;ISO Country code;Population 2018;Surface 2018;;GINI index;happy planet index 2016;happy planet index 2019;human development index 2017;human development index 2021;sustainable economic development assessment (SEDA) 2018;;GDP growth 2018;GDP growth 2021 or latest year;GDP 2018;GDP 2019;GDP 2020;GDP 2021;GDP per capita 2018;GDP per capita 2019;GDP per capita 2020;GDP per capita 2021;Economic Growth 2018;Economic Growth 2021 or latest;;health expenditure 2014;health expenditure 2015;health expenditure 2016;health expenditure 2017;health expenditure 2018;health expenditure 2019;health expenditure 2020;health expenditure 2021;health expenditure 2021 or latest;health expenditure per person 2015;health expenditure per person 2018;health expenditure per person 2019;infant mortality 2020;maternal mortality per 100,000 live births 2017 (latest year);;education expenditure 2014;education expenditure 2018;education expenditure 2021 or latest year;Education as % of GDP 2018;Education as % of GDP 2021 or latest; % of primary school aged kids out of school 2018;% of primary school aged kids out of school 2021 or latest year;;Unemployment (%) 2018;Unemployment (%) 2021;% of population in extreme poverty latest year;% of population with access to electricity 2020;;political rights score 2018;political rights score 2022;civil liberties score 2018;civil liberties score 2022;political stability & absence of violence 2017;political stability & absence of violence 2021;government effectiveness 2017;government effectiveness 2021;regulatory quality 2017;regulatory quality 2021;rule of law 2017;rule of law 2021;control of corruption 2017;control of corruption 2021;judicial effectiveness score 2018;judicial effectiveness score 2022;government integrity score 2018;government integrity score 2022;overall economic freedom score 2017; overall economic freedom score 2022;financial freedom score 2018;financial freedom score 2022;government expenditure (% of GDP) 2018;;CO2e emissions per capita 2019;share of electricity from renewables generation 2015;share of electricity from renewables generation 2020 or latest year;;% of seats held by women in national parliaments 2017;% of seats held by women in national parliaments 2018; % of seats held by women in national parliaments 2021;Military Spending as % of GDP 2021;Military Spending as % of GDP 2019
Afghanistan;AFG;36000000;652230;;-;20,2;29,4;0,498;0,478;-;;1,5;-2,35110067344623;75,6004181088303;78,5576066486734;76,7106382297132;;2082,3921973316;2152,19024282945;2078,47908182601;;1,18922812838034;-2,35;;3,69521999359131;3,2558000087738;3,5119800567627;3,37331008911133;3,19979000091553;3,21377992630005;;;3,21;184;69,99860382;65,80603027;60,7776428917134;638;;3,78;3,19979000091553;;3,19979000091553;3,21377992630005;;;;8,5;13,2829999923706;0;97,6999969482422;;12;1;14;9;-2,78;-2,52985525131226;-1,33;-1,63436961174011;-1,34;-1,33802223205566;-1,57;-1,87143611907959;-1,52;-1,14237689971924;28,2;-;26,2;-;51,3;-;10;-;26,3;;0,159824372036919;86,1%;82,8087212639622%;;27,7;;27,0161290322581;...;1,2%
Albania;ALB;2900000;27398;;29;36,8;51;0,785;0,796;53,1;;2,6;8,54408325116881;38,1717937964676;38,9688450427511;37,6120938976797;40,8257025128053;13498,138167156;13999,4239709594;13632,1865366302;15646,0415226344;4,01935968514439;8,54408325116881;;3,04999995231628;3,43796992301941;3,96209001541138;3,61173009872437;;3,91665005683899;3,09999990463257;;3,92;774;274,91409302;;2,4;15;;-;;3,09999990463257;;3,1;2,55779004096985;3,84192991256714;;16,3;11,8190002441406;0;100;;28;28;40;39;0,4;0,109445847570896;0,08;-0,003363638650626;0,22;0,1927540153265;-0,4;-0,256100863218307;-0,42;-0,5559241771698;25,4;49,8;39,9;35,6;64,5;66,6;70;70;30,1;;1,69224831964856;100%;100%;;27,9;27,8571428571429;35,7142857142857;1,4156359265316%;1,3%
Algeria;DZA;41000000;2381740;;35,3;33,3;46,5;0,754;0,745;45,8;;3,7;3,84779349036314;491,145156802149;496,056608370662;470,757721344142;488,871506301404;11908,5376066966;12008,264830338;11323,3122190849;12037,4812354389;1,10000000013866;3,84779349036314;;;;7,34435987472534;6,50538015365601;5,8663501739502;6,10035991668701;;;6,1;1031;256,00946045;248,20587158;11,5513498559687;112;;-;5,8663501739502;6,10035991668701;5,8663501739502;6,10035991668701;0,35249999165535;0,177000001072884;;11,2;12,7040004730225;;99,8041305541992;;10;10;25;22;-0,96;-0,876465022563934;-0,6;-0,620759844779968;-1,2;-1,17087244987488;-0,86;-0,816039979457855;-0,61;-0,614184439182282;35,2;29,7;29;30,1;44,7;45,8;30;30;42,5;;3,9776504588966;0,3%;1,09147812479624%;;25,8;25,7575757575758;8,10810810810811;5,59258407076549%;6%
Angola;AGO;30000000;1246700;;42,7;-;-;0,581;0,586;28,4;;3;0,700000004941785;215,117920241705;213,61209480474;201,863429583403;203,276473600462;7148,93325257707;6995,29973633804;6478,33218196834;6581,04202131983;-1,31631210213166;0,700000004941785;;3,12291765213013;3,48689579963684;2,7549364566803;2,46687889099121;2,04470133781433;1,92745733261108;2,41520023345947;;2,42;196;87,31073761;71,32600403;8,8;241;;-;2,04470133781433;2,41520023345947;2,04470133781433;2,41520023345947;;;;6,6;8,52999973297119;11,9;46,8906097412109;;10;10;16;20;-0,29;-0,710836231708527;-1,03;-1,05936896800995;-1,04;-0,66263210773468;-1,1;-0,952415645122528;-1,41;-0,655345797538757;25,4;25,3;18,9;20,6;48,6;52,6;40;40;32,1;;0,792137069457626;54,5%;68,2207140749484%;;38,2;30,4545454545455;29,5454545454545;1,13205982131155%;1,6%
Argentina;ARG;44000000;2736690;;41,7;35,2;50;0,825;0,842;57,3;;1,2;10,2637609278887;1012,12718942781;991,622158178862;893,498478523547;985,205026253526;23290,6757386443;22997,3917562633;20769,0323781598;23627,3942944195;-2,61739646282038;10,2637609278887;;5,36144018173218;5,77611017227173;5,54548978805542;5,45431995391846;4,87773990631104;4,72417020797729;;;4,72;1390;1127,9284668;945,99194336;9,7;39;;5,361440182;4,87773990631104;4,72417020797729;4,87773990631104;4,72;0,403450012207031;0,42247000336647;;6,6;10,9020004272461;0,3;100;;33;35;50;49;0,18;-0,106366641819477;0,16;-0,356661766767502;-0,29;-0,618144750595093;-0,25;-0,462304174900055;-0,26;-0,400777548551559;44,5;57,9;32,6;45,1;52,3;50,1;60;60;38,5;;3,74065029063396;30,7%;27,0583827935276%;;38,9;38,9105058365759;44,7470817120623;0,565318000558816%;0,7%
Armenia;ARM;3000000;28203;;31,5;25,7;54,7;0,755;0,759;51,7;;3;5,70000000010526;37,5317084189153;40,3841182582046;37,395693507134;39,52724803708;13018,8742919449;14230,0148679369;13311,0281362153;14630,2442233356;5,19999999965324;5,70000000010526;;2,24724006652832;2,80591011047363;2,75812005996704;2,70759010314941;2,25587010383606;2,56185007095337;2,70567011833191;;2,71;883;422,28268433;523,99908447;;26;;2,247240067;2,25587010383606;2,70567011833191;2,25587010383606;2,70567011833191;6,90522003173828;10,4773101806641;;16,8;20,8969993591309;0,1;100;;15;23;30;32;-0,71;-0,835592269897461;-0,1;-0,24955603480339;0,28;0,145152628421783;-0,16;-0,095904245972633;-0,56;0,072149872779846;47,4;33,1;40,5;50,8;68,7;65,3;70;70;25,8;;2,08606067775467;29,6%;24,5734775632279%;;18,1;18,0952380952381;33,6448598130841;4,44012109130006%;4,9%
Australia;AUS;25000000;7682300;;30,3;21,2;43,1;0,939;0,951;78,9;;2,5;1,47516288330458;1224,8788508978;1250,76237128789;1250,71438505698;1269,1644594415;50169,1872936523;51748,3977215322;53316,8854335814;55807,4440245279;2,87097248021668;1,47516288330458;;5,1646900177002;5,31583976745605;5,28623008728027;5,13680982589722;5,12344980239868;;;;5,12;4492;5364,54296875;5427,46240234;3;6;;5,192669868;5,12344980239868;;5,12344980239868;;0,428380012512207;1,45611000061035;;5,7;5,11199998855591;0,4;100;;40;39;58;56;0,9;0,850988686084747;1,54;1,51292824745178;1,93;1,83872807025909;1,68;1,67429053783417;1,8;1,73749423027039;93,4;95,2;77,4;87;80,9;77,7;90;90;36;;15,2382671504147;14,4%;24,6299972463%;;28,7;28,6666666666667;31,1258278145695;1,97842253315993%;1,9%
Austria;AUT;9000000;82445;;30,5;30,5;46,8;0,908;0,916;80,3;;0,9;4,48396920576444;488,512789542233;495,797545261262;462,407989786746;483,142221653777;56960,0914258929;58076,348801448;55685,9702933361;58427,4956899576;2,50159511872086;4,48396920576444;;5,44761991500854;5,45658016204834;5,4796199798584;5,37159013748169;5,22452020645142;;;;5,22;5138;5322,26269531;5242,18310547;17,3;5;;5,448979855;5,22452020645142;;5,22452020645142;-;0,043699998408556;0,056230001151562;;6,1;6,30100011825562;0,5;100;;37;37;57;56;1,04;0,914891123771668;1,46;1,57000815868378;1,44;1,34870600700378;1,81;1,78803551197052;1,53;1,2712367773056;80,9;94,6;73,5;82,9;71,8;73,8;70;70;51,8;;7,2939842524557;80%;83,9327975718666%;;30,6;34,4262295081967;40,4371584699454;0,802121671447654%;0,7%
Azerbaijan;AZE;10000000;82629;;33,7;-;48;0,757;0,745;51,1;;1,1;5,60003727280338;141,24010209867;144,771104746385;138,545947094179;146,304571771411;14549,0618972126;15051,5612816033;14478,5244519377;15842,8895089134;1,49999999999999;5,60003727280338;;2,63303995132446;2,95167994499207;2,90340995788574;2,47381997108459;2,45543003082275;2,68108010292053;;;2,46;1191;168,39164734;193,10884094;38,6;26;;2,633039951;2,45543003082275;2,68108010292053;2,45543003082275;2,68108010292053;3,89419007301331;10,4628601074219;;5,1;6,58300018310547;;100;;3;2;9;7;-0,76;-0,853478372097015;-0,16;0,247684523463249;-0,25;-0,059605456888676;-0,56;-0,584836721420288;-0,88;-0,827584862709045;36,8;15,9;39,9;28,6;64,3;61,6;60;60;36,8;;3,54239782750878;7,8%;12,2657471559515%;;16,8;16,8;18,1818181818182;5,27005900628497%;4%
Bahamas;BHS;400000;10010;;-;-;-;0,807;0,812;60,4;;0,5;13,7197349437703;13,9602553564451;14,2249646513685;10,8362071426745;12,3229060406073;37065,5344499437;38063,8160382665;29064,7594970233;34107,8498310476;1,8310077944388;13,7197349437703;;2,5;2,24990105628967;2,33118152618408;2,42276906967163;2,24967384338379;2,28841733932495;2,3713436126709;2,78222227096558;2,78;1699;2002,41296387;2004,61633301;4,9;70;;-;2,24967384338379;2,78222227096558;2,24967384338379;2,78222227096558;;;;15,3;13,2390003204346;;100;;38;38;53;53;1;0,876719474792481;0,58;0,461800664663315;0,12;0,064141876995564;0,19;0,102244459092617;1,17;1,18;53,5;78,8;50,9;64,3;63,3;68,7;60;60;23,8;;7,29166109736758;0%;0,0294171430388704%;;12,8;12,8205128205128;17,9487179487179;;
