Entity,Code,Year,Geo Biomass Other - TWh (zero filled),Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled)
Africa,,1965,0,0,0,0,41.118813,0,9.543755,323.49612,341.26276
Africa,,1966,0,0,0,0,45.862915,0,10.669916,323.1222,369.48657
Africa,,1967,0,0,0,0,47.875538,0,10.54567,330.29156,368.12524
Africa,,1968,0,0,0,0,56.000473,0,10.68897,343.5129,389.19986
Africa,,1969,0,0,0,0,65.3521,0,12.492,346.64294,396.92285
Africa,,1970,0,0,0,0,81.70288,0,15.520325,360.7569,433.7723
Africa,,1971,0.164,0,0,0,76.92132,0,18.405264,383.01233,473.56543
Africa,,1972,0.165,0,0,0,87.62504,0,24.670656,384.21082,510.67264
Africa,,1973,0.17,0,0,0,92.68892,0,39.551792,408.91034,549.7197
Africa,,1974,0.175,0,0,0,105.467155,0,44.518486,425.6462,567.7997
Africa,,1975,0.172,0,0,0,111.53163,0,53.63838,451.0805,596.40466
Africa,,1976,0.185,0,0,0,123.59515,0,60.98139,481.07416,652.58044
Africa,,1977,0.189,0,0,0,135.81087,0,68.23419,491.69846,695.1663
Africa,,1978,0.195,0,0,0,136.92912,0,97.3699,477.81558,732.181
Africa,,1979,0.201,0,0,0,146.56386,0,148.84282,507.24698,770.9386
Africa,,1980,0.207,0,0,0,142.85742,0,186.91399,543.55707,817.23883
Africa,,1981,0.218,0,0,0,148.41989,0,228.49117,635.79877,883.8619
Africa,,1982,0.236,0,0,0,148.4593,0,246.73355,701.1759,925.22723
Africa,,1983,0.23,0,0,0,133.79536,0,271.27533,713.24603,964.55225
Africa,,1984,0.234,0,0,0,131.55637,11.137246,259.90277,762.8978,981.7521
Africa,,1985,0.269,0,0,0,146.2222,15.081392,278.84274,787.1659,1007.09186
Africa,,1986,0.659,0,0,0,151.23631,24.978643,313.2712,805.3561,988.59314
Africa,,1987,0.658,0,0,0,145.05942,17.498955,323.38437,828.3197,1042.0686
Africa,,1988,0.626,0,0,0,158.47528,29.774044,358.44455,890.16077,1086.2682
Africa,,1989,0.617,0,0,0,166.40816,31.493578,371.47104,835.62085,1123.9265
Africa,,1990,0.796,0,0,0,169.3014,23.974163,398.6454,877.6783,1142.4028
Africa,,1991,0.812,0,0,0,179.34581,25.946238,401.6356,853.76215,1148.7052
Africa,,1992,0.84225,0,0,0,171.09227,26.35484,421.27026,858.8312,1170.5247
Africa,,1993,0.9377,0,0,0.0059166667,167.60956,20.58617,412.64398,871.7139,1180.0767
Africa,,1994,0.835,0,0,0.015972223,170.3109,27.515383,431.82794,894.4478,1221.8848
Africa,,1995,1.0187,0,0,0.018638888,176.73593,32.066753,461.2435,922.47125,1266.7817
Africa,,1996,1.258093,0,0,0.021,184.2691,33.41174,484.19177,935.2283,1293.9713
Africa,,1997,1.3866404,0,0,0.021277778,188.81114,35.88605,474.47552,959.0191,1332.2731
Africa,,1998,1.7125492,0,0,0.022472221,197.0978,38.59304,499.33698,937.03894,1363.5087
Africa,,1999,1.6961248,0,0,0.058539443,209.0126,36.42518,504.01962,966.0107,1414.5602
Africa,,2000,2.2690632,0,0.03531389,0.5189514,222.53064,36.91607,556.8224,963.7306,1420.3865
Africa,,2001,2.3353527,0,0.043955833,1.2208859,237.57632,30.21782,634.63617,975.9263,1432.6643
Africa,,2002,2.2864,0,0.04904361,1.2947481,248.17819,33.585613,670.6054,934.4216,1479.1665
Africa,,2003,2.6224,0,0.05815889,1.5532919,239.4766,35.24046,711.5067,1017.04846,1524.8151
Africa,,2004,2.9788496,0,0.07079056,2.213917,251.33617,36.957527,783.0682,1119.1619,1586.5107
Africa,,2005,3.0096693,0,0.084134445,2.2345567,254.37917,31.029053,807.7816,1039.0726,1654.9192
Africa,,2006,3.7704048,0,0.10786167,2.425894,261.91766,27.37538,843.4421,1054.097,1673.7168
Africa,,2007,3.1420484,0,0.14273277,2.8734944,269.18546,30.707249,900.0697,1071.6333,1734.7408
Africa,,2008,3.2673957,0,0.20416835,3.686173,272.4835,35.06555,935.1621,1180.7251,1824.851
Africa,,2009,3.5627222,0,0.26759833,4.438265,278.0456,34.31848,940.86066,1176.0021,1885.9763
Africa,,2010,3.764553,0,0.5996614,6.3410387,298.92563,36.028275,980.7318,1164.8401,1966.2146
Africa,,2011,3.8587685,0,1.6609554,6.5835404,305.5224,34.154095,1060.527,1147.2993,1934.1709
Africa,,2012,4.0424066,0,2.7218072,6.897696,304.97705,34.119267,1146.7704,1118.487,2046.8298
Africa,,2013,4.433249,0,2.1463213,9.793645,320.65207,36.891415,1169.7455,1130.1606,2121.4414
Africa,,2014,5.462047,0,5.1585293,13.708232,336.15042,35.859425,1202.32,1183.806,2143.3335
Africa,,2015,7.1696815,0,8.775349,23.996231,324.2737,31.622433,1325.3599,1119.0386,2199.145
Africa,,2016,7.231852,0,14.413415,29.919565,314.35477,38.599907,1370.4951,1186.288,2210.9258
Africa,,2017,7.6260357,0,20.687313,33.1529,336.2319,36.245564,1448.7449,1185.0671,2233.0898
Africa,,2018,8.17267,0,26.59893,39.075584,356.11508,29.399641,1543.5508,1163.5999,2257.502
Africa,,2019,8.262966,0,33.98899,50.957653,367.50095,34.39065,1549.7299,1231.3168,2262.0361
Africa,,2020,8.066416,0,42.175064,55.94757,384.41803,35.155136,1535.9724,1157.9011,2011.0526
Africa,,2021,8.026317,0,43.21504,63.888702,401.44714,26.1747,1643.8152,1168.7407,2183.542
Africa (BP),,1965,0,0,0,0,41.118813,0,9.543755,323.49612,341.26276
Africa (BP),,1966,0,0,0,0,45.862915,0,10.669916,323.1222,369.48657
Africa (BP),,1967,0,0,0,0,47.875538,0,10.54567,330.2916,368.12524
Africa (BP),,1968,0,0,0,0,56.00047,0,10.68897,343.5129,389.19986
Africa (BP),,1969,0,0,0,0,65.3521,0,12.492,346.6429,396.92288
Africa (BP),,1970,0,0,0,0,81.70288,0,15.520325,360.7569,433.7723
Africa (BP),,1971,0.164,0,0,0,76.92132,0,18.405264,383.01233,473.56543
Africa (BP),,1972,0.165,0,0,0,87.625046,0,24.670656,384.21082,510.67264
Africa (BP),,1973,0.17,0,0,0,92.68892,0,39.551792,408.91034,549.7198
Africa (BP),,1974,0.175,0,0,0,105.467155,0,44.518486,425.64624,567.7997
Africa (BP),,1975,0.172,0,0,0,111.53163,0,53.63838,451.0805,596.40466
Africa (BP),,1976,0.185,0,0,0,123.59515,0,60.98139,481.07416,652.5805
Africa (BP),,1977,0.189,0,0,0,135.81087,0,68.23419,491.69846,695.1663
Africa (BP),,1978,0.195,0,0,0,136.92912,0,97.369896,477.81558,732.181
Africa (BP),,1979,0.201,0,0,0,146.56386,0,148.84282,507.247,770.93866
Africa (BP),,1980,0.207,0,0,0,142.85742,0,186.91397,543.55707,817.2389
Africa (BP),,1981,0.218,0,0,0,148.41988,0,228.49115,635.79877,883.8619
Africa (BP),,1982,0.236,0,0,0,148.4593,0,246.73355,701.1759,925.22723
Africa (BP),,1983,0.23,0,0,0,133.79536,0,271.27536,713.24603,964.5522
Africa (BP),,1984,0.234,0,0,0,131.55637,11.137246,259.90277,762.8979,981.752
Africa (BP),,1985,0.269,0,0,0,146.22218,15.081392,278.84274,787.1659,1007.09186
Africa (BP),,1986,0.659,0,0,0,151.23631,24.978643,313.2712,805.3561,988.5932
Africa (BP),,1987,0.658,0,0,0,145.05943,17.498955,323.38437,828.3197,1042.0687
Africa (BP),,1988,0.626,0,0,0,158.47528,29.774044,358.44455,890.1608,1086.2682
Africa (BP),,1989,0.617,0,0,0,166.40816,31.493578,371.47104,835.62085,1123.9265
Africa (BP),,1990,0.796,0,0,0,169.3014,23.974163,398.6454,877.6782,1142.4028
Africa (BP),,1991,0.812,0,0,0,179.3458,25.946238,401.6356,853.76215,1148.7052
Africa (BP),,1992,0.84225,0,0,0,171.09225,26.35484,421.27026,858.8312,1170.5247
Africa (BP),,1993,0.9377,0,0,0.0059166667,167.60956,20.58617,412.64398,871.7139,1180.0768
Africa (BP),,1994,0.835,0,0,0.015972223,170.3109,27.515383,431.82794,894.4478,1221.8846
Africa (BP),,1995,1.0187,0,0,0.018638888,176.73593,32.066753,461.2435,922.47125,1266.7817
Africa (BP),,1996,1.2580931,0,0,0.021,184.2691,33.41174,484.19174,935.2282,1293.9712
