Entity,Code,Year,Fossil fuels per capita (kWh)
Africa,,1965,2097.7078
Africa,,1966,2133.356
Africa,,1967,2096.53
Africa,,1968,2142.4888
Africa,,1969,2123.3364
Africa,,1970,2216.5781
Africa,,1971,2332.7512
Africa,,1972,2388.8816
Africa,,1973,2525.6846
Africa,,1974,2556.1267
Africa,,1975,2637.0618
Africa,,1976,2780.9832
Africa,,1977,2841.5076
Africa,,1978,2876.7278
Africa,,1979,3049.3608
Africa,,1980,3214.0627
Africa,,1981,3526.9478
Africa,,1982,3668.9277
Africa,,1983,3710.1514
Africa,,1984,3710.8762
Africa,,1985,3730.9268
Africa,,1986,3686.228
Africa,,1987,3730.3982
Africa,,1988,3862.4136
Africa,,1989,3752.6377
Africa,,1990,3790.1714
Africa,,1991,3670.1572
Africa,,1992,3647.1348
Africa,,1993,3576.1
Africa,,1994,3606.7964
Africa,,1995,3659.2288
Africa,,1996,3653.0947
Africa,,1997,3633.3127
Africa,,1998,3590.0173
Africa,,1999,3609.8008
Africa,,2000,3591.099
Africa,,2001,3625.2014
Africa,,2002,3583.7222
Africa,,2003,3687.1665
Africa,,2004,3855.8923
Africa,,2005,3773.8757
Africa,,2006,3752.342
Africa,,2007,3795.79
Africa,,2008,3932.9446
Africa,,2009,3893.0527
Africa,,2010,3896.565
Africa,,2011,3825.703
Africa,,2012,3881.9744
Africa,,2013,3877.7598
Africa,,2014,3870.3428
Africa,,2015,3866.0493
Africa,,2016,3869.5425
Africa,,2017,3852.4265
Africa,,2018,3832.923
Africa,,2019,3798.356
Africa,,2020,3457.7817
Africa,,2021,3584.8325
Algeria,DZA,1965,1910.1324
Algeria,DZA,1966,2281.9224
Algeria,DZA,1967,2096.2073
Algeria,DZA,1968,2174.2285
Algeria,DZA,1969,2406.913
Algeria,DZA,1970,2540.1611
Algeria,DZA,1971,2746.7256
Algeria,DZA,1972,2990.643
Algeria,DZA,1973,3450.926
Algeria,DZA,1974,3790.4724
Algeria,DZA,1975,4413.426
Algeria,DZA,1976,4906.019
Algeria,DZA,1977,5218.6387
Algeria,DZA,1978,6387.1426
Algeria,DZA,1979,8129.0176
Algeria,DZA,1980,9412.426
Algeria,DZA,1981,11064.026
Algeria,DZA,1982,12334.725
Algeria,DZA,1983,13067.9
Algeria,DZA,1984,12099.901
Algeria,DZA,1985,11764.669
Algeria,DZA,1986,12094.42
Algeria,DZA,1987,12027.957
Algeria,DZA,1988,12576.017
Algeria,DZA,1989,11908.628
Algeria,DZA,1990,12327.519
Algeria,DZA,1991,11908.999
Algeria,DZA,1992,11949.858
Algeria,DZA,1993,10855.729
Algeria,DZA,1994,10789.64
Algeria,DZA,1995,10975.977
Algeria,DZA,1996,10678.949
Algeria,DZA,1997,10097.629
Algeria,DZA,1998,10282.93
Algeria,DZA,1999,10242.966
Algeria,DZA,2000,9741.336
Algeria,DZA,2001,9955.143
Algeria,DZA,2002,10175.09
Algeria,DZA,2003,10486.486
Algeria,DZA,2004,10736.774
Algeria,DZA,2005,11065.476
Algeria,DZA,2006,11323.462
Algeria,DZA,2007,11740.896
Algeria,DZA,2008,12229.293
Algeria,DZA,2009,12725.983
Algeria,DZA,2010,12229.061
Algeria,DZA,2011,12680.638
Algeria,DZA,2012,13594.317
Algeria,DZA,2013,14121.583
Algeria,DZA,2014,15090.883
Algeria,DZA,2015,15601.193
Algeria,DZA,2016,15272.842
Algeria,DZA,2017,15126.544
Algeria,DZA,2018,15966.561
Algeria,DZA,2019,16223.641
Algeria,DZA,2020,15015.856
Algeria,DZA,2021,15455.552
Argentina,ARG,1965,14732.077
Argentina,ARG,1966,14975.393
Argentina,ARG,1967,15171.745
Argentina,ARG,1968,15419.965
Argentina,ARG,1969,15717.668
Argentina,ARG,1970,14624.497
Argentina,ARG,1971,15273.179
Argentina,ARG,1972,15225.759
Argentina,ARG,1973,15484.969
Argentina,ARG,1974,15495.144
Argentina,ARG,1975,14697.472
Argentina,ARG,1976,15228.154
Argentina,ARG,1977,15704.628
Argentina,ARG,1978,15131.391
Argentina,ARG,1979,15778.703
Argentina,ARG,1980,14995.706
Argentina,ARG,1981,14270.962
Argentina,ARG,1982,14134.874
Argentina,ARG,1983,14350.787
Argentina,ARG,1984,13917.061
Argentina,ARG,1985,13332.964
Argentina,ARG,1986,13986.801
Argentina,ARG,1987,14362.058
Argentina,ARG,1988,15106.773
Argentina,ARG,1989,14542.866
Argentina,ARG,1990,13467.452
Argentina,ARG,1991,13652.279
Argentina,ARG,1992,14362.297
Argentina,ARG,1993,14260.223
Argentina,ARG,1994,14624.456
Argentina,ARG,1995,15149.672
Argentina,ARG,1996,16071.152
Argentina,ARG,1997,15606.603
Argentina,ARG,1998,16234.263
Argentina,ARG,1999,16684.738
Argentina,ARG,2000,16060.568
Argentina,ARG,2001,14775.743
Argentina,ARG,2002,14036.607
Argentina,ARG,2003,15134.122
Argentina,ARG,2004,16351.621
Argentina,ARG,2005,17164.092
Argentina,ARG,2006,17675.69
Argentina,ARG,2007,18939.355
Argentina,ARG,2008,19031.121
Argentina,ARG,2009,17968.44
Argentina,ARG,2010,18552.355
Argentina,ARG,2011,19099.428
Argentina,ARG,2012,19821.71
Argentina,ARG,2013,20265.033
Argentina,ARG,2014,20020.451
Argentina,ARG,2015,20104.195
Argentina,ARG,2016,19913.398
Argentina,ARG,2017,19667.014
Argentina,ARG,2018,19227.025
Argentina,ARG,2019,17843.926
Argentina,ARG,2020,16580.164
Argentina,ARG,2021,18071.082
Asia,,1965,2593.2678
Asia,,1966,2755.6658
Asia,,1967,2844.1738
Asia,,1968,2989.6592
Asia,,1969,3336.354
Asia,,1970,3708.5112
Asia,,1971,3975.0867
Asia,,1972,4135.37
Asia,,1973,4416.873
Asia,,1974,4385.127
Asia,,1975,4437.542
Asia,,1976,4601.785
Asia,,1977,4844.3716
Asia,,1978,5057.431
Asia,,1979,5222.369
Asia,,1980,5099.8003
Asia,,1981,5052.459
Asia,,1982,5048.6646
Asia,,1983,5199.5703
Asia,,1984,5510.527
Asia,,1985,6306.314
Asia,,1986,6446.405
Asia,,1987,6659.302
Asia,,1988,6987.484
Asia,,1989,7191.518
Asia,,1990,7324.761
Asia,,1991,7479.3438
Asia,,1992,7705.8843
Asia,,1993,7854.6816
Asia,,1994,8151.6724
Asia,,1995,8344.106
Asia,,1996,8603.945
Asia,,1997,8728.217
Asia,,1998,8581.256
Asia,,1999,8770.988
Asia,,2000,8999.903
Asia,,2001,9179.913
Asia,,2002,9532.167
Asia,,2003,10243.842
Asia,,2004,11038.48
Asia,,2005,11749.778
Asia,,2006,12265.223
Asia,,2007,12917.365
Asia,,2008,13141.77
Asia,,2009,13297.723
Asia,,2010,13938.106
Asia,,2011,14599.924
Asia,,2012,14955.713
Asia,,2013,15098.028
Asia,,2014,15271.555
Asia,,2015,15334.06
Asia,,2016,15438.066
Asia,,2017,15685.728
Asia,,2018,15999.959
Asia,,2019,16094.1
Asia,,2020,15618.573
Asia,,2021,16351.855
Australia,AUS,1965,35395.805
Australia,AUS,1966,36529.594
Australia,AUS,1967,38078.816
Australia,AUS,1968,39683.492
Australia,AUS,1969,40417.2
Australia,AUS,1970,42810.016
Australia,AUS,1971,43400.63
Australia,AUS,1972,44437.89
Australia,AUS,1973,46764.816
Australia,AUS,1974,48821.367
Australia,AUS,1975,48845.88
Australia,AUS,1976,50269.727
Australia,AUS,1977,52457.586
Australia,AUS,1978,53395.305
Australia,AUS,1979,54945.08
Australia,AUS,1980,54615.76
Australia,AUS,1981,54621.473
Australia,AUS,1982,53433.984
Australia,AUS,1983,50946.49
Australia,AUS,1984,52132.617
Australia,AUS,1985,52889.207
Australia,AUS,1986,53206.754
Australia,AUS,1987,54087.707
Australia,AUS,1988,55593.363
Australia,AUS,1989,57592.066
Australia,AUS,1990,57894.836
Australia,AUS,1991,56551.473
Australia,AUS,1992,56857.543
Australia,AUS,1993,57478.57
Australia,AUS,1994,59274.9
Australia,AUS,1995,61398.64
Australia,AUS,1996,62475.82
Australia,AUS,1997,63378.875
Australia,AUS,1998,64295.676
Australia,AUS,1999,66238.22
Australia,AUS,2000,65895.28
Australia,AUS,2001,65693.06
Australia,AUS,2002,66184.305
Australia,AUS,2003,66309.15
Australia,AUS,2004,67641.09
Australia,AUS,2005,66901.25
Australia,AUS,2006,68821.48
Australia,AUS,2007,69429.336
Australia,AUS,2008,69435.5
Australia,AUS,2009,66957.82
Australia,AUS,2010,65568.57
Australia,AUS,2011,65619.62
Australia,AUS,2012,63596.312
Australia,AUS,2013,62782.598
Australia,AUS,2014,62614.08
Australia,AUS,2015,62927.484
Australia,AUS,2016,61601.598
Australia,AUS,2017,60684.39
Australia,AUS,2018,59516.434
Australia,AUS,2019,60330.438
Australia,AUS,2020,55381.613
