Entity,Code,Year,Oil (% equivalent primary energy),Coal (% equivalent primary energy),Solar (% equivalent primary energy),Nuclear (% equivalent primary energy),Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Gas (% equivalent primary energy),Other renewables (% equivalent primary energy)
Africa,,1965,47.700943,45.21756,,0,5.7474947,0,1.3340045,
Africa,,1966,49.321323,43.132324,,0,6.122062,0,1.4242855,
Africa,,1967,48.639896,43.640987,,0,6.325731,0,1.3933852,
Africa,,1968,48.68636,42.97122,,0,7.005293,0,1.3371202,
Africa,,1969,48.322144,42.200966,,0,7.9560876,0,1.5207998,
Africa,,1970,48.642685,40.45483,,0,9.16206,0,1.7404299,
Africa,,1971,49.72192,40.214314,0,0,8.076341,0,1.9324574,0.05496704
Africa,,1972,50.676758,38.127277,0,0,8.695498,0,2.4482,0.052268587
Africa,,1973,50.36769,37.46613,0,0,8.492557,0,3.6239054,0.049722195
Africa,,1974,49.633263,37.207153,0,0,9.219236,0,3.8915093,0.048832215
Africa,,1975,49.159466,37.18092,0,0,9.193146,0,4.421216,0.045256946
Africa,,1976,49.482086,36.477573,0,0,9.3716345,0,4.62393,0.0447792
Africa,,1977,49.95758,35.33552,0,0,9.759941,0,4.903597,0.043357596
Africa,,1978,50.67284,33.068695,0,0,9.476601,0,6.738783,0.04308062
Africa,,1979,48.9723,32.22183,0,0,9.31017,0,9.454936,0.04075843
Africa,,1980,48.322212,32.139786,0,0,8.446964,0,11.051968,0.039071396
Africa,,1981,46.586044,33.511284,0,0,7.8228226,0,12.043169,0.036679093
Africa,,1982,45.750122,34.671352,0,0,7.3409333,0,12.200343,0.03725174
Africa,,1983,46.29251,34.231377,0,0,6.421346,0,13.01953,0.03523737
Africa,,1984,45.705544,35.516773,0,0.5184954,6.124618,0,12.099795,0.034775518
Africa,,1985,45.05474,35.215813,0,0.67470336,6.5416107,0,12.474719,0.038416207
Africa,,1986,43.256733,35.23904,0,1.0929618,6.6174736,0,13.707449,0.086336285
Africa,,1987,44.1872,35.12353,0,0.7420143,6.1510053,0,13.712581,0.08366761
Africa,,1988,43.02041,35.2538,0,1.1791669,6.2762327,0,14.195786,0.074603975
Africa,,1989,44.41037,33.01838,0,1.2444243,6.575383,0,14.678153,0.0732987
Africa,,1990,43.696102,33.57057,0,0.9169948,6.4756594,0,15.247906,0.09276852
Africa,,1991,43.979984,32.68763,0,0.9933924,6.8665357,0,15.377251,0.09520826
