Entity,Code,Year,Value
Africa,,1996,1.1124252
Africa,,1997,3.1372757
Africa,,1998,5.162126
Africa,,1999,8.199402
Africa,,2000,10927
Africa,,2001,13.028999
Africa,,2002,15243
Africa,,2003,18.019001
Africa,,2004,21996
Africa,,2005,25965
Africa,,2006,34268
Africa,,2007,46.656002
Africa,,2008,63.372997
Africa,,2009,106845
Africa,,2010,193842
Africa,,2011,266388
Africa,,2012,345954
Africa,,2013,666973
Africa,,2014,1573.12
Africa,,2015,1930761
Africa,,2016,2988417
Africa,,2017,4711063
Africa,,2018,7210268
Africa,,2019,8415319
Africa,,2020,9703859
Africa,,2021,10302.26
Africa (BP),,1996,1.0124252
Africa (BP),,1997,3.0372756
Africa (BP),,1998,5.062126
Africa (BP),,1999,8.099401
Africa (BP),,2000,10927
Africa (BP),,2001,13029
Africa (BP),,2002,15243
Africa (BP),,2003,18019
Africa (BP),,2004,21996
Africa (BP),,2005,25965
Africa (BP),,2006,34268
Africa (BP),,2007,46656
Africa (BP),,2008,63373
Africa (BP),,2009,106845
Africa (BP),,2010,193842
Africa (BP),,2011,266388
Africa (BP),,2012,345954
Africa (BP),,2013,666973
Africa (BP),,2014,1573.12
Africa (BP),,2015,1930761
Africa (BP),,2016,2988417
Africa (BP),,2017,4711063
Africa (BP),,2018,7210268
Africa (BP),,2019,8415319
Africa (BP),,2020,9703859
Africa (BP),,2021,10302.26
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,1.1
Algeria,DZA,2015,49.1
Algeria,DZA,2016,219.1
Algeria,DZA,2017,400
Algeria,DZA,2018,423
Algeria,DZA,2019,423
Algeria,DZA,2020,423
Algeria,DZA,2021,423
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,25
Argentina,ARG,2001,26
Argentina,ARG,2002,26
Argentina,ARG,2003,26
Argentina,ARG,2004,26
Argentina,ARG,2005,26
Argentina,ARG,2006,26
Argentina,ARG,2007,26
Argentina,ARG,2008,26
Argentina,ARG,2009,26
Argentina,ARG,2010,26
Argentina,ARG,2011,1252
Argentina,ARG,2012,6252
Argentina,ARG,2013,8257
Argentina,ARG,2014,8252
Argentina,ARG,2015,8618
Argentina,ARG,2016,8806
Argentina,ARG,2017,8806
Argentina,ARG,2018,191236
Argentina,ARG,2019,442111
Argentina,ARG,2020,764135
Argentina,ARG,2021,1071366
Asia,,1996,61
Asia,,1997,93.8
Asia,,1998,139.3
Asia,,1999,221.4
Asia,,2000,371.12
Asia,,2001,506.22998
Asia,,2002,712151
Asia,,2003,950.82
Asia,,2004,1241006
Asia,,2005,1610.6339
Asia,,2006,1972485
Asia,,2007,2298976
Asia,,2008,2878011
Asia,,2009,3764.5862
Asia,,2010,5629264
Asia,,2011,9884.05
Asia,,2012,16545.69
Asia,,2013,36577152
Asia,,2014,61170582
Asia,,2015,91588.62
Asia,,2016,142653.52
Asia,,2017,217310.88
Asia,,2018,284532.44
Asia,,2019,344220.16
Asia,,2020,423603.56
Asia,,2021,501576.28
Asia Pacific (BP),,1996,77
Asia Pacific (BP),,1997,112.5
Asia Pacific (BP),,1998,162
Asia Pacific (BP),,1999,246
Asia Pacific (BP),,2000,395655
Asia Pacific (BP),,2001,534.56
Asia Pacific (BP),,2002,745181
Asia Pacific (BP),,2003,988.45
Asia Pacific (BP),,2004,1285106
Asia Pacific (BP),,2005,1659171
Asia Pacific (BP),,2006,2029164
Asia Pacific (BP),,2007,2363006
Asia Pacific (BP),,2008,2951403
Asia Pacific (BP),,2009,4052475
Asia Pacific (BP),,2010,6625174
Asia Pacific (BP),,2011,12136772
Asia Pacific (BP),,2012,20023832
Asia Pacific (BP),,2013,40644.08
